COMMENT,LABEL
Đỗ Thị Ngọc Bích rồi lại kêu chảnh chó mặc dù Bích Đú ế lòi mạng nhện chưa đc ai tán,neutral
Nguyễn Văn Son forever 20 ,neutral
 Bảo Nhi  là BN thì phải,neutral
Huỳnh Đức Tân quen quen ,neutral
Văn Nhị  nhiều lắm ông ơi  not me,neutral
Sao không rep ib tui,neutral
 + Có đóng phí + Không có nhan em bị hủy kết quả thi đấy,neutral
 xin vui lòng đọc cfs ,neutral
Tội ông admin xài IE rồi ,negative
Dương Ngọc Dung đúng á D lúc ở ktx là vui nhất nhờ hơi tiếc khi không đc ở thêm vài năm ha,positive
Thôi anh bỏ đi chứ quen tiếp tội con người ta ,negative
Mn nói ăn sẽ có bồ nhưng toi không thấy bồ toi đâu cạ ,positive
Phú Lộc  m kháy hay lắm,positive
Trang lol què ,neutral
Thủy Tiên gắt z chị Tiên,negative
Trịnh Nghi biết MM là gig hông,neutral
Mấy bác lm e thấy nản quá à đi ra ngoài khen BK thì ít nói xấu thì vô đối,negative
Phạm Quang Huy quả gì mà cay cay thế xin thưa rằng quả báo ,positive
 thương hết sức 33,positive
Nguyễn Tuyết Nhung ok m,positive
Tăng Kim Thuận cười xỉu ,positive
Trà Lê mừng ghê ,positive
 Khác chứ em TMĐT UIT có anh 3,neutral
 Khang Hoàng Nguyên có 2 anh này độc thân nè ,neutral
Trúc Dương Quý ui em nhớ old ro thiện lành như chén canh quá đi,positive
Huyện chữ gì đó ,neutral
Hoàng Dũng anh nè e trai,positive
Quỳnh Hoa xỉu,negative
Phương Trang rớt nước mắt,negative
Cười lên tự tin mọi chuyện sẽ ổn thôi ,positive
Thúy Nga đọc cho quen ít bữa học nè,positive
 Đi bus 2 mươi mấy cây đi 1 2 năm là quen nhé em ,positive
 bạn có thể theo dõi face chị này để đợi có đợt đăng kí thi ở trung tâm quốc phòng nè,neutral
hot trong tim em,neutral
Nguyễn Nhật Cường trâm anh phế thiệt là sao ,neutral
neu co duyen thi wen nhau,neutral
tự nhiên có cái vụ buộc mở thẻ không biết có gì mờ ám trong đây hong ta,negative
Phạm Tô Huyền Trang tuyệt vời 	,positive
kh tuyển gì nha chỉ nhận giao hữu thôi ,neutral
Muốn làm trùm KTX thì đấm ai đầu tiên nhỉ vậy em là TSV không biết ạ,neutral
Dạ em cảm ơn,positive
 2 hand e nhé,neutral
Tăng Hồng Vũ Bảo mong manh thật sự ,negative
 Trừ quần đùi và đồ ngủ ra thì mặc gì cũng được hết nhé e Ưu tiên váy ngắn nhé,positive
Em là nữ 2k2 tính vào ngành TMĐT mà đọc cái  mà em chầm cảm suy nghĩ quá mấy anh chị ơi ,negative
Nếu bạn là người chạy deadline thì bạn sẽ hiểu,positive
Em nhập mail sao nó báo lỗi ạ,neutral
Nguyễn Trí Trạch Em có câu hỏi gì vậy Nếu có khả năng c sẽ tl giúp em,positive
Quỳnh Như Nguyễn nhìn cho quen để mốt bị cắn đỡ bỡ ngỡ ,positive
Nguyễn Duy  bạn ấy nhầm cơ sở rồi vậy mà chắc chắn là người chúng ta đều quen,neutral
Nguyễn Thương giống chỗ mô ,neutral
 không cần mua nhe hồi a cũng không có lap giờ 6 năm rồi vẫn trụ lại trường được nè,neutral
ủa ai gãnh má ,negative
Nguyễn Nhật Đan yeah nghe giọng con trai Bắc phê quá trời,positive
Nicolaj Jensen không joke đâu nó đùa đấy em ơi ,neutral
Nhanh chân đá phát sưng mu lol nó liền chị chị em em mà chơi trò mất dạy ,negative
Ngân Nguyễn nên ra ngoài ăn để không phải đăng cfs chửi,positive
Anhkun Kobayashi còn một tuần cơ,neutral
Lực Anh ơi có thằng ý kiến ,neutral
 em muốn bị trói bằng cà vạt hay gì ,negative
 chắc do nhát gái á ,negative
Xài android không đc à e  Nhà nghèo không tiền mua iphone đag xài motorola razr cùi bắp,negative
Huỳnh Tấn Thọ oke em,positive
 Code cây bằng pythonĐùa ,negative
Bùi Quoc Anh Khuyên bạn ấy nên suy nghĩ lại,neutral
Lữ Hoàng Khang mà hồi đó là t tưởng t xui lắm mới gặp ai ngờ cũng nhiều người xui như t,negative
Minh Châu thú vị ha ,positive
Kỳ Anh Nguyễn tag để chửn bị tâm lý Chem sắp có bồ ye ye,neutral
Trần Khánh đồn thì cũng nghe nhiều lắm nhưng trước anh em mình vẫn ở đấy thôi,positive
Bùi Tá Lộc iem ở đảo vào SG dạo  chơi tí 3 thấy choai IT thấy shợ luôn é ,negative
Hoang Loc Tran KTMT bên đó tốt nghiệp có logo của BK còn bên này không có ,neutral
Nghe nói em hát như mèo rú  ,neutral
Thịnh Nguyễn Bửu cho em hỏi tại sao vậy ạ ,neutral
Võ Huy Nam Hồi đó có vụ gì vậy cậu  ,neutral
Bảo Lê Chí e có 3 bích cho e đi trước nha anh,positive
Bảo Ngân bạn nói hay quá nè ,positive
 cho mình xin slot nhé ,neutral
chỉ nói là phần lớn thí sinh chứ cũng không rõ thí sinh là nam hay nữ ,positive
Ôn Thi Chương trình tiên tiến của ngành Hệ thống thông tin á ,neutral
Nguyễn Hoàng Thế Bảo   anh này tuy không gác thi nhưng mà đẹp trai với giàu,positive
T đọc 3 lần rồi vẫn không hiểu là sao nhỉ,negative
Năm nay lấy bnhiu điểm vậy ạ 	,neutral
 thử sao biết đc panMà chưa chắc pan đã bận rộn hơn mjk ak ,positive
lương  1x000000 t kết câu này vc không biết bao giờ mới đc,positive
 ẳng cái gì chả hiểu,neutral
 Mẫn Đạt t tag cho ui thôi ,positive
Quốc Thành ở trước phải thêm 1 câu Là SV 3 kì liên tiếp nhận được hb loại suất sắc anh xin tư vấn,neutral
Mới thấy cựu ad react mà ad nhớ mãi không ra nickname  tội lỗi vlCún,negative
Phương Quyên số phận ngăn cách chúng ta quá ,negative
 qua clc học đi em  có máy lành phà phà luôn nha,positive
Mỹ Phước Cần lắm 1 lời giải trình rõ ràng,neutral
Ừa thì lâu lâu cũng nên quan tâm chỗ thạch học chứ  Thach Hoang Nguyen,neutral
Ước gì có ai đó chèo thuyền với mình trên sông Hương bạn hỉ,positive
Đào Thị Thanh Vân dạ em cám ơn,positive
Hời ơi hời lần đầu tiên biết trai khtn nó đẹp,positive
KTX ĐHQG Confesions ủa này là đi học QS cái có ny hả ad,neutral
Bình Yên dạo gần đây ớn quá ,negative
Thị Hiệp Trần  ai biết được,neutral
Bảo Khánh clm gì z Bẻo có tiền đ đâu mà rich ,neutral
Long Pham thấy hay cười như này này ,positive
Nguyễn Hưng nhân văn tp hcm á	,neutral
không,neutral
Chi Chi ủa s bík hay dợ ,neutral
Dui l z ,positive
Ngày mai đám cứi anh bán cà rem nui em,neutral
 ké ạ,neutral
CLC học dở  tui học ĐT toàn nhờ Trí Minh giảng bài không á,neutral
chạm 1 cái là nhớ nhau cả đời ,positive
hóng 1 cfs Sẽ tán hết các anh ,positive
dm tha tao ,negative
Nguyễn Tuấn Kiệt rồi cũng kệ ngta,negative
Ánh Dương y chang luôn D cũng nhớ phòng 2 bn Khác mặt bằng của D Haha Ánh nhớ siêu thặc ,positive
Nhàn Nguyễn Thanh năm rồi mà có vụ này thì chúng ta đâu có xa cách với nhau ,positive
Trần Sơn Tùng má càng ns càng thêm sợ hãi,negative
Pố m có phòng rồi,positive
Nguyễn Trần Mỹ Hạnh ai biết vậy rảnh mà,positive
Vui Vui t bốc phốt m đeo tai nghe 24/24 nha con ,positive
Nguyễn Thị Thìn ok nào chuyển tao hú,positive
Chốt cáo câu nghe hay vl  ở trên thì trung lập xuống dưới thì vẫn ghét,negative
Thảo Trương  chuyện thường ở huyện rồi có mà nghỉ ở ktx ,neutral
Trọng Nguyên buồn cười ,positive
Đinh Tùng Phong thề tiếp đi em,neutral
Nguyễn Thị Ngọc Hân trừi ưi,neutral
mạnHam vọng Ham muốn + dục vọng hay là tham vọng,neutral
Võ Nguyễn Huỳnh Anh hít drama có lợi cho sức khoẻ mà ,positive
vậy thì 2 người thầy đáng kính của em giúp em trưởng thành mỗi ngày,positive
Thu Hiền  kakakak,positive
Trịnh Nghi thấy ghi info Như C6  hên qá không phải Như C17,neutral
Thanh Nguyên Mt  khởi giá xuống D5 nghênh đón kế quàng hậu ,positive
Nhưng không nhớ vụ ni,neutral
Nguyễn Kim nó vô trường xách hàng nóng lụi mình mất bạn ơi ,negative
 chán chả thèm nói,negative
Giang Hoài đọc số mấy mẹ Tự nhiên dô kêu đọc đi Đọc hết hả,neutral
Tôn Ngọc Minh Quân hack nick portal được hum ,positive
hèn chi cái này thấy toàn học hànhtự nhiên lọt 1 cái cfs,neutral
Ánh Dương  hong pải mún là đc nha cưng ,negative
Lâm Eric  Ai yêu mi Ai đui mới thích m,positive
Nguyễn Yến ok em ,positive
Chắc được học trong lớp chứ không có lót dép học ngoài sân đâu Em yên tâm nha,neutral
Sao không đứa nào hỏi hệ thống hết z Pun ak,negative
Wayne Sang đi thả thính,positive
em muốn lái chị ,positive
KHTN_Cfes toi bảo gặp anh có chịu ah ++Thâu để set lại choa,neutral
Huỳnh Phú Quí nhận đủ gạch xây 1 lớp luôn,negative
Thủ đức là gì ad  chỉ cần có lý do,neutral
Nghĩa là drama không bao giờ chấm dứt à ,negative
Kim Vân của N đó chứ ai  bữa đọc sđt,neutral
Hy Ca không nói nheieuf,neutral
Kent Bùi điểm này quất đại trà đi bạn  đại trà auto đậu rồi,positive
Cún Thượng Thuận nói zui hoi chứ có xin in4 ai bao giờ ,positive
Kiều Diễm Trần Lệ Nhân Trần Nguyễn My xưa mà như này chắc gì gặp nhau ha,neutral
S đồ trắng không z ,neutral
Ở D5D6 chắc ngày ngày đến thỉnh an khánh nguyễn,positive
Nguyễn Hạnh Trân Do tìm được ngôi nhà ấm áp nên chia sẻ tí hihi 3,positive
 ý kiến trường mở rộng nhà xe đi bạn lên đây xàm có nghĩa lí gì vậy rảnh quá hả,neutral
Hieu Phan thôi tui không quen mấy người hơn nhiều tuổi,neutral
Sung Phan ui đấm thì khỏi lo,negative
vì 1 vài cá nhân mà đánh giá cả tập thể à ,negative
 Tầm thường q mi ,negative
Hoàng Vũ gắt,negative
Mai mới có điểm mà ad,neutral
Hàn Châu cần mình bảo kê cho không,neutral
Nguyễn Ngọc Thạch  ngủ đi ,neutral
Qui Vo ủa ủa trùng người yêu à ,neutral
Nguyễn Quang nghe bảo admin hay chơi số lắm nên chắc mai mới có,neutral
Thiên Vương mạnh dạn đề cử anh Vương,positive
 then kiu,positive
Võ Thiện Tín cần t tag bồ t dô không ,neutral
Tạ Dương Anh Minh quay lại ẳng nó luôn sợ gì tầm này,positive
insert mặt Trấn Thành,positive
Giống Lép khi đợi có real love ,neutral
Nguyễn Thị Kim Ngân Anh xinJ mà,neutral
Nhiên Thiên Nguyễn thôi đi Bỏ cái chuyện đó qua Đi nhậu với e nè Cuối tuần này,positive
Ngọc Lãm  vậy cmt này của em cũng giữ fc,neutral
Tien Dung Vo  +1 anh ưi,positive
Quỳnh Thư Nguyễn Hồ Bạn cx như bạn ở trên à ,neutral
Mai Diệp Yến Nhi có đồng phục đâu bạn ơi,neutral
DN En  á à	,neutral
Văn Bá Thế Kỷ rồi m có thuỳ mị nết na đâu mà kêu người khác ,negative
KHTN_Cfes suất sắt mẹ luôn Toàn nói sai,negative
 Em ơi thích thì về team CTXH thôi em ơi 	,positive
cái 1 á hả ,neutral
 trai Acousphys thẳng đường hình Sin luôn nè em ,positive
Gia Đạt Nông Tý  sao nghe giống t vãi ,neutral
Yến Trâm khi đăng kí KTX có thể tự chọn tòa theo ý mình không ạ,neutral
Gato ,negative
Thịnh Nguyễn Bửu dạ vâng em cám ơn ạ	,positive
Anh Hoàng à há chào bn 	,positive
 Lùn mà đứng trên núi tiền thì vẫn cao nha bạn,positive
Cô gái đến từ hôm qua,neutral
 Reiew gì đây chời khi khoá cao nhất học ngành này mới đang học năm ba thôi ,neutral
Nhân Phan vẫn là không có cái can đảm đi nói chuyện ,neutral
Phòng tranh F2 nhìn Art quá trời,positive
Hồ Minh Quân Đang hóng điểm của HCMUSSH ,positive
Trần Quang Nhật  m cũng trong lò đó ra chắc m cũng vậy ha ,positive
A là cựu sinh iên 3 anh có Milo dầm  ừa ăn ừa hít drama  3 ai có nhu cầu ad fb a nha ,positive
Tống Lam  không bắt buộc đâu bạn,neutral
 giống mình nhưng điểm mình thua 1 chút Cũng đợi clc ,neutral
Với cái duyên này thì nên ở 1m nha  chứ chó nó thèm á,negative
Nguyễn Thị Thuỳ Dương chi ma hien a`  ,neutral
ăn 10 cây luôn,positive
Trần Nhựt Hào NT Duy Nhan Quy Duy Nguyễn hi ,positive
Lúc đi xe bus lúc về hết biết phải đón xe ở đâu nên bo grab về ,positive
Nga Hằng Nguyễn  làm gì mà đủ trình giúp được ,negative
H muốn mua 4 gói mì xào Hảo Hảo giá 5k,neutral
Nguyễn Lam  không phải rớt mà là đàn ông khốn nạn đó em ,negative
 Klq nhưng mà mấy bạn chơi bóng chuyền có thể cho mình vào chơi ké với được không ,neutral
Nguyễn Minh QuÂn giải tích nữa bro,neutral
Đề cương mác 2 của us chỉ có tư bản cố định và tư bản lưu động thôi nha ad,neutral
 thế bạn lại giống mình rồi ,neutral
Học đại học ngân hàng có được đăng kí ở ktx không mn,neutral
Trọng Phong nói pạn số 3 kìa không có nói mùnh,neutral
Túmai đứa nào không dậy mất 10k,positive
Còn gì nữa mà sầu ,negative
  tầm thường lắm nha em ý anh là người hỏi á	,negative
Nguyễn Thanh Chương  bạn còn nhiệt không ú ,neutral
Đỗ Đình Lực số 1 ,neutral
 ngoài Trần Thiên Thiên ra thì ai cũng thẳng ,neutral
Khánh Bình ủa t méc bạn Bi,neutral
Quân kg phải mang 2 nghĩa à,neutral
 tôi đây ,positive
 đi ra kia chơi,neutral
Tien Huynh Cong 4gb chơi mấy trận,positive
 hận An Lean ,negative
Duy Lâm Thương Hiền pé đọc cái cfs chửi mà sướng cả người phải share lun ó dzui ố lala,positive
Lạy trời cuối tháng 7 rồi em duyệt nốt bài phốt này thôi ạ Nghiệp đừng quật em ,negative
Nguyễn Hữu Tứ thôi nói vậy tội em nó đằng nào cũng đủ vào CLC mà ,positive
Đặng Dark nhịn cho sang  rảnh đâu như mấy ng đó ,neutral
Đứa hỏi thấp nhất mà còn 2575  khóc,negative
Vòi đâu khu B mới có Pé Hân xài hao giấy nhất nhà đó ,neutral
móa con quỉ hiện hình Hoa Vô Khuyết Cong Vuong Chanh Tin ,negative
Tran Nguyen may t ngủ 1 mình 1 giường,neutral
Nguyễn Ngân bạn học trường nào á ,neutral
Linh Phạm tui nôn quá bạn ơi,negative
Kiều My thời chưa tới ,neutral
Ước nguyện đứng chung thang máy với idol đã real,positive
 có lẽ bạn không biết rằng tán  đập ,negative
Nói m kìa Bích Thảo,neutral
Up giờ này thì s mà hít ,neutral
Bảo Nhi nhớ ăn cơm gà bên căn tin 1 or 2 ăn phở bò căn tin bờ hồ sẽ rất ngon ,positive
Bùi Thị Hậu ok man,neutral
 nếu đã qua thì có thể liên hệ với trung tâm gdqp để được xin cấp lại,neutral
cho ói phát D,negative
Minh Huyền cả hai đều có sự tích cây cầu á bạn,neutral
cho em hỏi nếu rớt môn của hệ CLC thì sao ạ  Đóng tiền lại giống bên đại trà hay cao hơn ạ,neutral
Mỹ Thu dzui qué è ăn lẩu nha chị ,positive
Thôi sau này có gặp thì dả chạc cho nhanh nè 	,negative
Thanh Ngan Nguyen nói gi vậy hong hiu,neutral
 qua là mừng rồi còn đòi học cải thiện chi nữa huhu,negative
Duy Phong hiền nhất cái UIT này đó nha D	,positive
Nghia Le dạ em cảm ơn ạ,positive
Bùi Phú Khuyên nó dis nhau trong nhà nghỉ thì tôi chả quản làm gì,negative
 M ứng cử không Nguyễn Linh 3,neutral
Nguyễn Tuấn hèn gìi ,neutral
Hoài Dương may phòng mình xưa không có như vậy ,positive
Ngọc Lãm kéo em nữa ,neutral
Trần Thịnh chắc vậy quá anh Má cay cú đéo chịu được,negative
\x1dRõ ràng ,neutral
Minh Thuận m ngon,neutral
Nguyễn Hồng Phúc cho em xin nhẹ cái bí kíp với nè anh ,positive
Đào Huỳnh đó gọi là cú lừa đó ,neutral
Mộc Miên còn không nhớ dãy F ở đâu vậy sao dám lên học đây chòi,neutral
KHTN_Cfes sở thích kì lạ ghê ,negative
Phương Uyên  tự pr bản thân  chứ đông tới ùi lạnh lẽo lắm ,negative
Quốc Thành có khi My có bằng rồi đó N chọc m th,neutral
Trần Thiên Thiên  lỡ nói đúng quá òi ,positive
Jang Nguyen nói vậy là chị có 1 tủ đúng không,neutral
Chúc mừng Xu đậu ĐH nha 	,positive
toang thật sự méo thấy hồi âm luôn,negative
 Áo thun quần jean và dép lào hoặc giày thêm  cái áo sơ mi dày làm áo khoác nếu muốn,neutral
Phạm Đức Truyền sạo chóa ,negative
Rip hết ròi anh ơi ,negative
 rất đơn giản đánh mình nha,neutral
năm nay vẫn vậy mà ,neutral
Huyền Trang chòi hên ghê ,positive
Cho em hỏi lên ĐH có bị bede hông ạ ,neutral
Ơ đi ăn ở BA4 thì lsao thế mn ,positive
Cường Ngô oh no,positive
Mn ơi e sinh viên mới lỡ đk ktx rồi h sủi còn kịp không ạ ,neutral
Quỳnh Hương b đó đóng cái gì bạn,neutral
Jordan Mangum Uầy hóng hớt quá nha ,positive
Xuân Huỳnh  chời làm admin nhiều người ghét lắm  phải trốn kĩ vậy ,negative
Nguyễn Huy quào ,positive
 Mình được không cậu ơi,neutral
 Ngọc Quí ủa không ngờ là m,neutral
 Nhật Huy đây e mỗi tội cong thôi ,neutral
quân sư đây rồi ,positive
Thu Lê a thôi chịu,neutral
Đăng Nguyễn Rồi dị là bạn chưa biết cảnh Nguyễn Trà đang ngủ mà bị động đất ròi,neutral
Cho e hỏi là có đc đki ở chung vs bạn được không ạ,neutral
Nguyễn Bảo hoy mà có gì đâu nè chị thương mà 3,positive
Lệnh phi đã xem ,positive
 Giờ ai mà thích đầu Mohican nữa ai rồi cũng sẽ cắt moi thôi,neutral
Khánh Vi Bạn hơi đen thôi mà sao nói bạn không sạch sẽ,negative
Nguyễn Phúc nếu cho câu kiểu vậy thì dễ quá ,negative
Đinh Công đức quen không vậy ,neutral
Hồ Thành Danh không bik năm nào nhưng nhắc về những chuyến xe bus của m là t cừ a,positive
Gia Can  vô học làm nhẹ cái kèo đi ông,positive
Hoàng Phi Long đọc đi,neutral
Hương Thảo Trần thích cười không Đấm chết h,negative
Vũ Quang Trung ở khu b thì đến phòng nào đk ạ,neutral
không có dụng cụ vẫn múa được ,positive
Hương Toàn Phú chơi vậy mới đúng nè ,positive
 t chỉ cho nè  lấy dao đâm vào người m á  đồ tồi,negative
Lâm Thư bay,neutral
 Bạn hỏi cái này trên CFS thì không hợp lý rồi bạn nên tham gia các group hoặc o,neutral
Châu Võ  chắc m hk rich nhỉ,neutral
Học xong bắt 53  từ SPKT về mà đứng nhầm bên đường nên ra tận chợ bến thành ,positive
Đào Hà Minh  ct là đéo có xin lỗi xin lol gì hết,negative
TranAnh Tuấn ơ ai nói gì chứ nào phải em ,negative
yo vì giận Hoàng Thượng mà chuyển đến KTX ở xem ra Hậu cung khó mà yên ổn rồi,positive
T6 làm tí kem chuối đê,positive
Võ Phi Minh Hiếu ủa hk sài mà  Phẫn nộ,positive
Phải á dạo này thấy US nhiều trai đẹp ghê xỉu,positive
Quý Lê  Bị chửi nhiều quá hông dám làm gì lên đây chửi bóng gió á mà quan tâm chi,negative
Lạy trúa hôm nay là trung thu,positive
Nguyễn Thành Đạt  kiểu này như trổ pónk nhưng bên trong lại thẳng ,neutral
D hong phải tui á,neutral
Meyer Thuý lấy dao gọt trái cây mà ,positive
Đi chơi khum 4C,positive
 áo thể dục + quần thể dục nha ,positive
Tran Cong Danh  sao t nhớ hồi mình còn sài vòi ta,neutral
Mình đã say bye cate NV từ rất lâu ,positive
